announcement_date,title,policy_type,tech_focus,description,importance,source,url,budget_amount_cr,target,notes,country,jurisdiction
2023-01-04,National Green Hydrogen Mission Approval,fiscal,green_hydrogen,"Cabinet approved National Green Hydrogen Mission with Rs 19,744 crore outlay, targeting 5 MMT annual production by 2030",very_high,PIB Press Release,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2039091,19744.0,5 MMT green hydrogen by 2030,Major fiscal commitment to green hydrogen,India,National
2023-06-19,National Green Hydrogen Mission Guidelines Released,operational,green_hydrogen,Detailed implementation guidelines for NGHM released by MNRE,high,MNRE,https://mnre.gov.in,,,Operationalization of NGHM,India,National
2023-08-01,ALMM Order for Solar PV Modules (Initial),regulatory,solar_pv,"Approved List of Models and Manufacturers order issued, mandating use of listed modules in govt schemes",very_high,MNRE,https://mnre.gov.in,,Mandatory for govt-backed projects,Major supply-side regulatory intervention,India,National
2022-09-29,PLI Scheme for Solar Modules - Tranche II Launch,fiscal,solar_manufacturing,"Second tranche of PLI scheme launched with Rs 13,938 crore allocation for 39,600 MW capacity",very_high,MNRE/PIB,https://mnre.gov.in,13938.0,"39,600 MW capacity (3 basket structure)",Major manufacturing incentive,India,National
2022-06-01,Basic Customs Duty on Solar Modules and Cells,regulatory,solar,BCD of 40% on modules and 25% on cells introduced to boost domestic manufacturing,very_high,Ministry of Finance,https://www.cbic.gov.in,,Import substitution,Protectionist measure to boost domestic industry,India,National
2022-02-01,Union Budget 2022-23: Renewable Energy Announcements,fiscal,renewable_general,"Union Budget allocated Rs 20,700 crore for renewable energy sector",high,Ministry of Finance,https://www.indiabudget.gov.in,20700.0,Annual sector allocation,Major budget support,India,National
2021-09-29,PLI Scheme for Solar Modules - Tranche I Launch,fiscal,solar_manufacturing,"First tranche of Production Linked Incentive scheme launched with Rs 4,500 crore for 10,000 MW",very_high,MNRE,https://mnre.gov.in,4500.0,"10,000 MW capacity",Landmark manufacturing incentive scheme,India,National
2021-08-12,PM-KUSUM Scheme Extension and Expansion,operational,solar_agriculture,Extension and additional allocation for PM-KUSUM scheme for solar agriculture,high,MNRE,https://mnre.gov.in,,30.8 GW by 2022,Expansion of agricultural solar,India,National
2021-02-01,Union Budget 2021-22: Renewable Energy Allocation,fiscal,renewable_general,"Union Budget announced Rs 15,000 crore for renewable energy sector",high,Ministry of Finance,https://www.indiabudget.gov.in,15000.0,Annual sector allocation,Increased budget support,India,National
2020-11-18,100 GW Solar Target Reaffirmation,policy_announcement,solar,Government reaffirmed 100 GW solar capacity target by 2022,medium,MNRE,https://mnre.gov.in,,100 GW by 2022,Milestone target reaffirmed,India,National
2020-10-01,Solar Park Extension,operational,solar,Extension of timeline for Solar Park scheme implementation,medium,MNRE,https://mnre.gov.in,,40 GW solar parks,Scheme extension,India,National
2020-06-15,Atmanirbhar Bharat: Solar Manufacturing Push,policy_announcement,solar_manufacturing,Self-reliant India initiative included focus on solar manufacturing and renewable energy,high,PMO/MNRE,https://pib.gov.in,,Domestic manufacturing boost,Strategic focus on self-reliance,India,National
2020-02-01,Union Budget 2020-21: Renewable Energy Allocation,fiscal,renewable_general,"Union Budget allocated funds for renewable energy programs including solar, wind, and biomass",medium,Ministry of Finance,https://www.indiabudget.gov.in,12000.0,Annual sector allocation,Budget allocation baseline,India,National
